Label (Grouping),"Anchorage, AK Metro Area!!Estimate","Anchorage, AK Metro Area!!Margin of Error","Colorado Springs, CO Metro Area!!Estimate","Colorado Springs, CO Metro Area!!Margin of Error","Houston-Pasadena-The Woodlands, TX Metro Area!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Margin of Error","Kansas City, MO-KS Metro Area!!Estimate","Kansas City, MO-KS Metro Area!!Margin of Error","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Margin of Error","New York-Newark-Jersey City, NY-NJ Metro Area!!Estimate","New York-Newark-Jersey City, NY-NJ Metro Area!!Margin of Error","Omaha, NE-IA Metro Area!!Estimate","Omaha, NE-IA Metro Area!!Margin of Error","Orlando-Kissimmee-Sanford, FL Metro Area!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Margin of Error","Tucson, AZ Metro Area!!Estimate","Tucson, AZ Metro Area!!Margin of Error","Tulsa, OK Metro Area!!Estimate","Tulsa, OK Metro Area!!Margin of Error"
        Built 1939 or earlier,"1,286",±709,"14,564","±1,835","64,030","±4,624","103,821","±4,383","558,414","±11,393","2,140,213","±22,497","60,794","±3,246","17,272","±2,859","9,389","±1,906","30,080","±1,605"
ROOMS,,,,,,,,,,,,,,,,,,,,
    Total housing units,"172,174","±2,319","327,258","±1,153","2,978,861","±1,809","969,534",±725,"4,828,892",±863,"8,083,521","±4,695","418,309",±628,"1,173,622",±584,"484,385",±664,"451,611",±407
        1 room,"6,235","±1,367","5,663","±1,462","103,124","±6,714","20,526","±2,957","295,138","±12,013","448,416","±13,709","11,468","±2,078","25,992","±3,212","18,722","±2,830","10,124","±1,284"
        2 rooms,"10,953","±1,755","11,983","±2,581","133,639","±7,353","36,283","±3,555","287,344","±9,103","477,964","±13,507","14,867","±2,262","38,743","±4,330","16,367","±2,397","13,327","±1,440"
        3 rooms,"20,430","±2,648","26,080","±3,062","312,465","±12,297","75,678","±4,662","739,608","±13,779","1,305,853","±22,980","32,363","±2,962","113,028","±7,294","48,023","±4,073","41,501","±2,149"
        4 rooms,"32,033","±2,772","44,922","±4,323","456,148","±12,973","123,547","±5,933","1,022,921","±14,736","1,560,096","±21,478","51,104","±3,575","194,908","±8,510","83,810","±4,402","66,427","±2,859"
        5 rooms,"30,318","±3,298","40,662","±4,224","485,356","±12,687","164,381","±5,497","819,857","±15,961","1,255,138","±22,049","61,891","±4,038","208,634","±11,115","91,121","±4,432","92,046","±3,138"
        6 rooms,"24,233","±2,583","44,683","±3,941","500,233","±13,539","173,711","±6,517","702,755","±12,955","1,017,780","±18,253","69,378","±4,225","220,099","±9,385","92,584","±5,327","87,043","±3,138"
        7 rooms,"17,415","±2,106","40,019","±3,565","321,617","±10,334","119,346","±5,003","399,047","±10,374","662,936","±13,756","53,398","±2,977","139,425","±7,221","59,701","±4,178","53,419","±2,819"
        8 rooms,"11,816","±1,688","39,384","±3,741","283,755","±11,091","98,501","±4,563","290,718","±7,454","566,360","±12,248","39,314","±3,238","112,640","±6,598","37,360","±3,596","38,220","±2,116"
        9 rooms or more,"18,741","±2,335","73,862","±3,999","382,524","±11,421","157,561","±5,698","271,504","±8,981","788,978","±11,537","84,526","±3,686","120,153","±5,728","36,697","±3,036","49,504","±1,919"
        Median rooms,5,±0.2,6.3,±0.2,5.5,±0.1,5.9,±0.1,4.6,±0.1,4.7,±0.1,6,±0.2,5.5,±0.1,5.3,±0.1,5.5,±0.1
BEDROOMS,,,,,,,,,,,,,,,,,,,,
    Total housing units,"172,174","±2,319","327,258","±1,153","2,978,861","±1,809","969,534",±725,"4,828,892",±863,"8,083,521","±4,695","418,309",±628,"1,173,622",±584,"484,385",±664,"451,611",±407
        No bedroom,"7,384","±1,503","6,001","±1,477","111,293","±7,038","23,005","±3,301","336,179","±13,064","513,250","±15,218","12,370","±2,063","28,502","±3,425","20,045","±2,938","11,054","±1,365"
        1 bedroom,"20,936","±2,474","33,838","±3,192","416,175","±10,498","106,774","±5,725","844,774","±12,439","1,719,337","±26,726","48,864","±3,886","110,429","±6,047","56,695","±3,978","48,670","±2,116"
        2 bedrooms,"41,692","±3,461","64,129","±4,414","568,515","±13,564","221,766","±7,233","1,404,351","±17,993","2,190,647","±28,050","93,763","±4,300","295,656","±10,512","127,786","±5,630","96,498","±3,126"
        3 bedrooms,"65,019","±3,600","96,661","±4,851","1,025,274","±15,285","360,118","±8,219","1,360,152","±17,076","2,158,393","±25,302","154,779","±3,573","422,594","±11,867","175,365","±5,920","202,124","±3,790"
        4 bedrooms,"29,088","±2,803","83,942","±5,323","695,786","±15,471","200,870","±6,047","688,838","±12,577","1,102,179","±16,434","78,310","±3,886","248,548","±9,120","88,496","±5,872","77,884","±2,638"
        5 or more bedrooms,"8,055","±1,688","42,687","±3,290","161,818","±9,026","57,001","±3,316","194,598","±7,564","399,715","±9,923","30,223","±2,520","67,893","±5,655","15,998","±2,378","15,381","±1,350"
HOUSING TENURE,,,,,,,,,,,,,,,,,,,,
    Occupied housing units,"148,995","±3,367","311,530","±3,322","2,731,843","±8,601","906,504","±4,974","4,542,998","±10,740","7,490,498","±17,819","397,769","±3,139","1,073,662","±8,238","445,471","±3,708","411,320","±2,226"
        Owner-occupied,"99,752","±3,433","209,563","±4,239","1,677,691","±13,996","599,608","±6,650","2,189,902","±16,242","3,825,885","±23,604","263,098","±3,908","670,080","±9,195","292,307","±5,350","265,474","±3,733"
