Label (Grouping),"Anchorage, AK Metro Area!!Estimate","Anchorage, AK Metro Area!!Margin of Error","Colorado Springs, CO Metro Area!!Estimate","Colorado Springs, CO Metro Area!!Margin of Error","Houston-Pasadena-The Woodlands, TX Metro Area!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Margin of Error","Kansas City, MO-KS Metro Area!!Estimate","Kansas City, MO-KS Metro Area!!Margin of Error","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Margin of Error","New York-Newark-Jersey City, NY-NJ Metro Area!!Estimate","New York-Newark-Jersey City, NY-NJ Metro Area!!Margin of Error","Omaha, NE-IA Metro Area!!Estimate","Omaha, NE-IA Metro Area!!Margin of Error","Orlando-Kissimmee-Sanford, FL Metro Area!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Margin of Error","Tucson, AZ Metro Area!!Estimate","Tucson, AZ Metro Area!!Margin of Error","Tulsa, OK Metro Area!!Estimate","Tulsa, OK Metro Area!!Margin of Error"
"        $1,000 to $1,499","8,258","±1,744","23,994","±2,611","140,346","±7,263","92,683","±4,518","76,912","±4,461","121,804","±6,424","41,075","±2,997","82,163","±4,998","51,470","±3,525","47,458","±2,642"
"        $1,500 to $1,999","16,266","±2,185","36,698","±2,804","230,826","±9,570","98,572","±5,534","160,298","±5,971","219,827","±8,641","46,332","±3,616","115,597","±7,055","43,965","±3,998","39,080","±2,068"
"        $2,000 to $2,499","14,668","±2,075","31,398","±2,588","196,448","±9,015","69,110","±3,795","215,106","±6,552","317,404","±9,603","31,809","±2,898","81,461","±5,076","24,560","±3,068","19,193","±1,762"
"        $2,500 to $2,999","9,600","±1,671","20,350","±3,060","136,137","±7,742","35,946","±2,905","222,686","±6,667","378,046","±10,665","19,463","±1,888","47,108","±3,774","12,877","±2,067","10,551","±1,078"
"        $3,000 or more","13,644","±1,837","28,755","±3,019","235,970","±8,201","48,063","±3,399","780,422","±14,584","1,234,927","±16,770","25,005","±2,012","66,015","±4,862","13,687","±1,603","13,516","±1,457"
        Median (dollars),"2,179",±61,"2,103",±43,"2,193",±25,"1,798",±22,"3,096",±23,"3,104",±20,"1,877",±33,"1,926",±24,"1,603",±38,"1,575",±22
    Housing units without a mortgage,"34,457","±2,476","61,463","±3,715","691,985","±12,824","218,215","±5,315","703,437","±11,396","1,492,469","±20,157","88,610","±3,190","245,595","±7,862","120,874","±5,239","114,632","±3,276"
        Less than $250,"2,042",±740,"2,782",±991,"34,262","±3,841","7,297","±1,457","22,433","±2,574","70,318","±4,459","1,885",±595,"13,935","±2,097","9,061","±1,685","6,666","±1,020"
        $250 to $399,"3,301","±1,078","7,551","±1,529","71,496","±5,324","23,006","±2,611","48,220","±3,674","42,785","±4,227","5,967","±1,357","35,693","±4,322","22,975","±2,372","19,553","±1,656"
        $400 to $599,"5,941","±1,329","16,563","±1,797","129,481","±6,554","53,593","±3,805","114,980","±4,944","77,052","±4,969","15,914","±1,799","58,273","±5,098","40,991","±3,244","38,571","±2,259"
        $600 to $799,"7,558","±1,464","16,942","±2,045","134,732","±6,076","56,082","±3,298","129,431","±5,281","105,033","±6,098","23,290","±2,052","55,164","±4,448","23,822","±2,329","24,565","±1,711"
        $800 to $999,"7,809","±1,507","7,980","±1,237","110,262","±7,274","37,724","±2,926","107,115","±5,578","169,078","±6,963","18,677","±2,156","36,049","±3,935","12,857","±2,105","12,515","±1,168"
"        $1,000 or more","7,806","±1,397","9,645","±1,525","211,752","±8,152","40,513","±2,807","281,258","±8,344","1,028,203","±15,636","22,877","±2,396","46,481","±3,857","11,168","±1,709","12,762","±1,336"
        Median (dollars),759,±30,638,±18,764,±12,684,±12,862,±10,"1,267",±10,778,±19,650,±17,534,±13,561,±9
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,,,,,,,,,,,,,,,,,,,
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"65,131","±3,490","147,027","±4,547","981,094","±13,375","380,530","±6,018","1,476,706","±16,102","2,321,387","±22,028","173,955","±4,356","422,455","±8,753","169,993","±5,125","150,043","±3,893"
        Less than 20.0 percent,"30,163","±2,745","58,834","±3,147","425,546","±11,438","193,945","±5,862","497,765","±10,701","907,516","±14,903","86,959","±3,343","173,513","±7,546","86,423","±4,600","74,662","±2,722"
        20.0 to 24.9 percent,"10,631","±1,881","25,707","±3,074","152,021","±8,036","57,308","±3,764","198,912","±6,820","318,703","±10,094","29,142","±2,598","63,940","±4,854","23,941","±2,527","21,824","±1,613"
        25.0 to 29.9 percent,"7,100","±1,313","16,179","±2,089","101,578","±7,268","35,978","±3,454","160,628","±6,298","233,015","±8,236","19,103","±2,121","42,758","±3,769","14,382","±1,884","15,967","±1,602"
        30.0 to 34.9 percent,"4,100","±1,015","11,984","±1,925","71,299","±4,857","24,592","±2,798","120,742","±5,602","181,733","±6,845","9,722","±1,565","34,065","±4,456","12,560","±2,228","10,194","±1,310"
        35.0 percent or more,"13,137","±1,855","34,323","±3,411","230,650","±9,863","68,707","±4,203","498,659","±11,721","680,420","±13,576","29,029","±2,704","108,179","±6,189","32,687","±3,032","27,396","±2,024"
        Not computed,164,±224,"1,073",±807,"4,612","±1,512",863,±442,"9,759","±1,717","12,029","±2,102",533,±396,"2,030",±945,"1,440",±942,799,±352
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"34,185","±2,484","60,734","±3,676","681,067","±13,026","215,839","±5,388","690,901","±11,433","1,474,087","±19,986","87,713","±3,233","241,657","±7,864","118,949","±5,169","112,254","±3,204"
        Less than 10.0 percent,"18,865","±2,027","31,581","±2,506","283,099","±9,853","90,062","±3,895","305,039","±9,227","473,690","±11,360","35,452","±2,177","105,571","±5,674","58,651","±4,026","48,705","±2,658"
        10.0 to 14.9 percent,"4,849",±977,"11,137","±1,760","138,158","±6,450","45,508","±3,471","120,238","±4,270","266,193","±8,852","17,343","±1,739","43,753","±4,392","21,325","±2,337","22,467","±2,060"
        15.0 to 19.9 percent,"3,801","±1,175","6,462","±1,436","79,165","±5,843","25,242","±2,491","69,175","±3,796","178,066","±6,998","10,715","±1,399","24,273","±2,856","11,139","±1,883","12,606","±1,380"
        20.0 to 24.9 percent,"1,780",±732,"3,930","±1,062","44,725","±4,243","16,451","±2,186","42,725","±3,299","118,708","±6,412","7,126","±1,349","17,477","±2,880","6,644","±1,475","7,048","±1,005"
        25.0 to 29.9 percent,"1,155",±557,"1,661",±657,"30,620","±3,441","8,364","±1,330","25,566","±2,326","79,393","±4,843","4,031",±945,"10,705","±1,855","4,275",±919,"5,522",±970
        30.0 to 34.9 percent,438,±242,"1,279",±498,"18,693","±2,697","5,996","±1,172","19,937","±1,985","58,016","±4,598","2,022",±570,"7,062","±1,669","2,567",±959,"3,090",±628
        35.0 percent or more,"3,297",±867,"4,684",±916,"86,607","±4,995","24,216","±2,156","108,221","±5,763","300,021","±8,762","11,024","±1,742","32,816","±3,759","14,348","±1,946","12,816","±1,268"
        Not computed,272,±182,729,±485,"10,918","±1,995","2,376",±760,"12,536","±1,925","18,382","±2,633",897,±530,"3,938",±936,"1,925",±876,"2,378",±665
GROSS RENT,,,,,,,,,,,,,,,,,,,,
    Occupied units paying rent,"46,570","±3,512","98,716","±4,383","1,028,485","±14,435","296,256","±6,518","2,293,886","±16,781","3,562,832","±26,864","130,469","±4,210","394,166","±11,363","146,762","±5,454","137,295","±3,320"
        Less than $500,"1,875",±696,"1,942",±814,"25,662","±3,517","15,113","±2,159","81,942","±5,033","264,918","±9,867","7,260","±1,247","6,905","±1,864","6,023","±1,537","9,714","±1,042"
        $500 to $999,"6,203","±1,369","9,467","±1,913","165,125","±8,506","67,341","±4,961","137,434","±6,686","349,922","±13,324","37,691","±3,083","24,471","±3,989","34,515","±3,509","49,017","±2,422"
"        $1,000 to $1,499","17,697","±2,382","26,454","±3,136","375,448","±11,771","121,831","±6,618","377,861","±11,494","722,272","±19,100","49,628","±3,779","91,215","±5,499","54,625","±4,640","53,676","±2,804"
"        $1,500 to $1,999","11,611","±1,832","27,888","±3,055","273,828","±11,654","63,467","±4,469","557,657","±13,521","842,468","±18,335","25,896","±2,562","124,714","±6,946","32,276","±3,748","16,994","±1,514"
"        $2,000 to $2,499","5,162","±1,518","20,832","±3,229","118,909","±7,787","19,041","±2,216","468,612","±11,404","557,997","±16,530","6,325","±1,557","93,055","±7,572","11,363","±2,308","4,840","±1,042"
"        $2,500 to $2,999","1,826",±734,"6,386","±1,526","40,317","±4,510","4,678","±1,444","274,705","±10,152","301,995","±10,815","1,551",±735,"36,969","±4,328","3,258","±1,256","1,257",±418
"        $3,000 or more","2,196",±842,"5,747","±1,368","29,196","±3,620","4,785","±1,169","395,675","±10,222","523,260","±14,804","2,118",±823,"16,837","±2,834","4,702","±1,266","1,797",±430
        Median (dollars),"1,428",±46,"1,706",±49,"1,433",±14,"1,240",±17,"1,993",±11,"1,764",±10,"1,168",±26,"1,799",±23,"1,263",±41,"1,075",±16
        No rent paid,"2,673","±1,067","3,251",±915,"25,667","±3,186","10,640","±1,628","59,210","±4,007","101,781","±5,356","4,202",±871,"9,416","±1,926","6,402","±1,615","8,551","±1,298"
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,,,,,,,,,,,,,,,,,,,
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"46,193","±3,514","98,016","±4,407","1,004,093","±14,885","292,012","±6,509","2,243,784","±17,772","3,482,685","±26,658","128,493","±4,249","385,228","±11,342","143,228","±5,670","133,929","±3,342"
        Less than 15.0 percent,"5,980","±1,409","8,320","±1,749","96,582","±6,157","38,553","±4,068","201,592","±7,862","480,756","±15,033","15,787","±2,185","27,660","±3,692","13,089","±2,085","16,712","±1,524"
        15.0 to 19.9 percent,"4,516","±1,230","10,537","±1,835","110,452","±8,277","39,640","±3,911","236,189","±9,248","412,797","±11,807","17,779","±2,331","40,501","±4,238","18,122","±2,964","18,037","±1,776"
        20.0 to 24.9 percent,"6,706","±1,533","13,475","±2,181","138,726","±8,878","42,011","±4,255","257,471","±9,411","404,722","±13,290","18,666","±2,189","40,143","±4,589","18,224","±2,372","17,498","±1,842"
        25.0 to 29.9 percent,"7,143","±1,835","12,938","±2,233","115,793","±7,292","35,487","±3,697","252,237","±11,247","381,086","±13,295","16,370","±2,199","42,872","±4,737","14,944","±2,315","17,335","±1,416"
        30.0 to 34.9 percent,"4,959","±1,165","10,137","±2,005","91,704","±6,836","27,669","±3,200","212,731","±8,478","301,108","±13,596","11,120","±2,110","35,261","±4,686","12,289","±2,902","12,775","±1,528"
        35.0 percent or more,"16,889","±2,373","42,609","±3,818","450,836","±13,183","108,652","±5,879","1,083,564","±14,161","1,502,216","±24,964","48,771","±3,524","198,791","±11,013","66,560","±5,087","51,572","±2,342"
        Not computed,"3,050","±1,140","3,951","±1,158","50,059","±4,925","14,884","±1,926","109,312","±5,461","181,928","±6,924","6,178","±1,145","18,354","±2,964","9,936","±2,097","11,917","±1,423"
